IN	R	M	N	B
1	166	151	499683	0
2	166	120	499714	0
4	166	140	499694	0
3	155	93	499752	0
5	155	121	499724	0
0	166	155	499679	0
1	166	150	499684	0
2	155	164	499681	0
3	166	102	499732	0
4	166	120	499714	0
5	155	121	499724	0
0	166	174	499660	0
1	174	166	499660	0
2	174	51	499775	0
3	174	151	499675	0
4	174	45	499781	0
5	166	131	499703	0
0	174	166	499660	0
1	174	153	499673	0
2	174	118	499708	0
3	174	65	499761	0
4	174	16	499810	0
5	166	131	499703	0
0	155	153	499692	0
1	153	150	499697	0
2	153	151	499696	0
3	153	76	499771	0
4	155	87	499758	0
5	153	135	499712	0
0	155	153	499692	0
1	153	72	499775	0
2	153	106	499741	0
3	153	135	499712	0
4	155	18	499827	0
5	153	135	499712	0
0	162	153	499684	1
1	163	23	499814	0
2	163	35	499802	0
3	162	98	499739	1
4	154	96	499750	0
5	163	119	499718	0
0	154	163	499683	0
1	154	163	499683	0
2	154	126	499720	0
3	162	116	499721	1
4	162	134	499703	1
5	163	119	499718	0
2	152	17	499831	0
1	156	27	499817	0
0	152	156	499692	0
3	152	25	499823	0
4	152	135	499713	0
5	152	151	499697	0
0	152	156	499692	0
1	152	147	499701	0
2	152	13	499835	0
3	156	47	499797	0
4	152	135	499713	0
5	152	151	499697	0
0	149	159	499691	1
1	160	40	499800	0
2	149	152	499698	1
3	160	5	499835	0
4	160	20	499820	0
5	160	124	499716	0
0	149	159	499691	1
1	160	120	499720	0
2	160	139	499701	0
3	160	23	499817	0
4	160	99	499741	0
5	160	124	499716	0
0	155	156	499689	0
1	156	129	499715	0
2	155	58	499787	0
3	156	56	499788	0
4	155	22	499823	0
0	155	156	499689	0
5	156	62	499782	0
1	156	52	499792	0
2	156	154	499690	0
3	156	40	499804	0
4	155	123	499722	0
5	156	62	499782	0
0	157	136	499707	0
1	157	136	499707	0
2	157	86	499757	0
3	157	110	499733	0
4	136	90	499774	0
0	136	157	499707	0
5	136	124	499740	0
1	157	116	499727	0
2	136	134	499730	0
3	136	83	499781	0
4	136	110	499754	0
5	157	13	499830	0
0	144	164	499692	0
1	164	144	499692	0
2	164	118	499718	0
3	164	112	499724	0
4	144	44	499812	0
0	164	144	499692	0
5	144	59	499797	0
1	164	128	499708	0
2	164	134	499702	0
3	144	47	499809	0
4	164	128	499708	0
5	164	59	499777	0
0	151	164	499685	0
1	151	91	499758	0
2	164	151	499685	0
3	151	29	499820	0
4	151	106	499743	0
5	164	146	499690	0
0	151	164	499685	0
1	164	129	499707	0
2	151	105	499744	0
3	151	148	499701	0
4	151	59	499790	0
5	164	148	499688	0
0	150	149	499701	0
1	149	99	499752	0
2	150	132	499718	0
3	150	32	499818	0
4	150	61	499789	0
5	150	146	499704	0
0	149	150	499701	0
1	149	8	499843	0
2	150	73	499777	0
3	149	126	499725	0
4	150	101	499749	0
5	149	145	499706	0
0	147	173	499680	0
1	147	150	499703	0
2	173	62	499765	0
3	173	130	499697	0
4	147	84	499769	0
5	173	136	499691	0
0	147	173	499680	0
1	173	147	499680	0
2	173	146	499681	0
3	147	57	499796	0
4	173	131	499696	0
5	173	139	499688	0
0	161	154	499685	0
1	161	154	499685	0
2	154	153	499693	0
3	154	136	499710	0
4	154	53	499793	0
5	161	110	499729	0
0	161	154	499685	0
1	161	154	499685	0
2	154	40	499806	0
3	154	159	499687	0
4	154	147	499699	0
5	161	0	499839	0
0	168	176	499656	0
1	175	135	499689	1
2	176	26	499798	0
3	175	166	499658	1
4	168	157	499675	0
5	175	77	499747	1
0	175	167	499657	1
1	168	3	499829	0
2	168	166	499666	0
3	175	133	499691	1
4	175	73	499751	1
5	176	1	499823	0
