IN	R	M	N	B
2	160	125	499715	0
3	160	90	499750	0
4	161	28	499811	0
5	168	115	499717	0
0	160	151	499689	0
1	160	151	499689	0
2	168	138	499694	0
3	160	146	499694	0
0	178	156	499666	0
4	168	23	499809	0
5	161	120	499719	0
1	151	1	499848	0
2	178	4	499818	0
3	178	67	499755	0
4	160	41	499799	0
5	160	54	499786	0
0	178	156	499666	0
1	178	95	499727	0
3	178	156	499666	0
2	151	39	499810	0
4	158	4	499838	0
5	160	119	499721	0
0	160	151	499689	0
1	178	109	499713	0
2	158	119	499723	0
3	146	112	499742	0
4	178	8	499814	0
5	178	22	499800	0
0	146	158	499696	0
1	146	146	499708	0
2	158	146	499696	0
3	178	25	499797	0
4	143	112	499745	0
5	156	29	499815	0
0	178	156	499666	0
1	158	34	499808	0
2	183	9	499808	0
3	143	49	499808	0
4	158	40	499802	0
5	158	132	499710	0
0	143	183	499674	0
1	183	9	499808	0
2	143	158	499699	0
3	158	96	499746	0
4	165	32	499803	0
1	183	24	499793	0
5	158	74	499768	0
0	158	146	499696	0
2	165	69	499766	0
3	155	150	499695	0
4	183	19	499798	0
5	143	171	499686	0
0	155	165	499680	0
1	165	18	499817	0
2	165	153	499682	0
3	143	183	499674	0
4	172	22	499806	0
5	155	9	499836	0
0	143	183	499674	0
1	143	22	499835	0
2	130	162	499708	0
3	130	58	499812	0
4	165	96	499739	0
5	156	101	499743	0
0	172	130	499698	0
1	172	25	499803	0
2	130	143	499727	0
3	155	157	499688	0
4	164	25	499811	0
5	130	114	499756	0
0	166	155	499679	0
3	164	161	499675	0
2	164	81	499755	0
1	155	11	499834	0
4	130	38	499832	0
5	130	122	499748	0
0	164	171	499665	0
1	164	162	499674	0
2	164	150	499686	0
3	130	88	499782	0
4	160	36	499804	0
5	171	23	499806	0
0	172	130	499698	0
1	160	43	499797	0
2	160	154	499686	0
4	171	42	499787	0
3	130	30	499840	0
5	171	131	499698	0
0	164	160	499676	0
1	160	103	499737	0
2	164	130	499706	0
3	171	28	499801	0
4	167	148	499685	0
5	164	51	499785	0
1	167	110	499723	0
0	171	164	499665	0
2	167	76	499757	0
3	164	155	499681	0
4	171	25	499804	0
5	160	12	499828	0
0	167	163	499670	0
1	167	110	499723	0
2	162	158	499679	1
3	160	15	499825	0
4	145	17	499838	0
5	167	115	499718	0
0	145	153	499702	0
2	145	61	499794	0
1	164	116	499720	0
3	168	142	499690	0
4	164	135	499701	0
5	162	151	499686	1
0	145	153	499702	0
1	153	4	499843	0
2	145	99	499756	0
3	167	133	499700	0
4	172	143	499685	0
5	145	84	499771	0
0	167	172	499661	0
2	167	32	499801	0
1	172	144	499684	0
3	145	129	499726	0
5	145	18	499837	0
4	167	109	499724	0
0	172	167	499661	0
1	172	11	499817	0
2	172	150	499678	0
3	145	15	499840	0
4	169	124	499707	0
5	167	135	499698	0
0	156	169	499675	0
1	153	124	499723	0
2	169	4	499827	0
3	171	117	499712	0
4	172	34	499794	0
5	145	67	499788	0
0	169	156	499675	0
1	169	117	499714	0
2	156	34	499810	0
3	167	121	499712	0
4	178	65	499757	0
5	169	111	499720	0
0	178	182	499640	0
1	167	171	499662	0
2	178	157	499665	0
3	156	105	499739	0
4	169	79	499752	0
5	167	122	499711	0
0	178	182	499640	0
1	182	102	499716	0
2	182	124	499694	0
3	169	91	499740	0
4	152	42	499806	0
5	178	98	499724	0
0	151	161	499688	0
1	169	8	499823	0
2	161	110	499729	0
3	182	71	499747	0
4	178	26	499796	0
5	169	74	499757	0
0	151	161	499688	0
1	151	92	499757	0
2	161	26	499813	0
3	178	50	499772	0
4	172	138	499690	0
5	151	26	499823	0
0	172	144	499684	0
1	178	17	499805	0
2	172	113	499715	0
3	151	111	499738	0
4	151	161	499688	0
5	178	63	499759	0
0	172	144	499684	0
1	144	73	499783	0
2	144	164	499692	0
3	151	107	499742	0
4	187	102	499711	0
5	172	144	499684	0
0	187	130	499683	0
1	161	5	499834	0
2	187	26	499787	0
3	172	20	499808	0
4	172	36	499792	0
5	151	23	499826	0
0	130	187	499683	0
1	187	97	499716	0
3	144	73	499783	0
2	187	67	499746	0
4	151	25	499824	0
5	130	19	499851	0
0	151	151	499698	0
1	172	142	499686	0
2	151	140	499709	0
3	187	121	499692	0
4	130	178	499692	0
5	144	41	499815	0
0	151	151	499698	0
1	151	144	499705	0
2	187	90	499723	0
3	151	79	499770	0
4	179	92	499729	0
5	151	124	499725	0
0	179	182	499639	0
1	187	66	499747	0
2	182	155	499663	0
3	151	44	499805	0
4	151	137	499712	0
5	130	175	499695	0
0	179	182	499639	0
1	179	26	499795	0
2	151	87	499762	0
4	163	73	499764	0
3	179	19	499802	0
5	182	79	499739	0
0	145	163	499692	0
1	151	151	499698	0
2	163	38	499799	0
3	179	91	499730	0
4	179	74	499747	0
5	151	50	499799	0
0	145	163	499692	0
1	163	145	499692	0
2	182	154	499664	0
3	156	109	499735	0
4	145	22	499833	0
0	168	156	499676	0
5	163	141	499696	0
1	182	172	499646	0
2	156	137	499707	0
3	163	86	499751	0
4	163	34	499803	0
5	182	39	499779	0
0	168	156	499676	0
1	168	156	499676	0
2	163	134	499703	0
3	142	96	499762	0
4	168	38	499794	0
5	142	178	499680	0
0	168	156	499676	0
1	163	52	499785	0
2	142	51	499807	0
3	168	38	499794	0
4	168	122	499710	0
5	145	151	499704	0
0	142	179	499679	0
1	142	23	499835	0
2	156	159	499685	0
3	157	155	499688	0
5	195	76	499729	0
4	179	130	499691	0
0	179	142	499679	0
1	168	156	499676	0
2	195	9	499796	0
3	179	116	499705	0
4	179	90	499731	0
5	156	159	499685	0
0	157	195	499648	0
1	157	195	499648	0
2	142	176	499682	0
3	153	111	499735	1
4	143	93	499764	0
0	157	195	499648	0
5	157	32	499811	0
1	142	178	499680	0
2	153	110	499736	1
3	157	131	499712	0
4	195	74	499731	0
5	142	177	499681	0
0	143	154	499703	0
1	143	106	499751	0
2	195	157	499648	0
3	175	75	499750	0
4	159	151	499690	0
5	143	29	499828	0
0	153	142	499704	1
1	195	156	499649	0
2	175	97	499728	0
3	143	113	499744	0
4	143	101	499756	0
5	195	126	499679	0
0	175	159	499666	0
1	175	121	499704	0
2	143	152	499705	0
3	155	22	499823	0
4	155	131	499714	0
5	159	152	499689	0
1	154	55	499791	0
0	175	159	499666	0
2	155	32	499813	0
3	175	9	499816	0
4	175	30	499795	0
5	153	138	499708	1
0	155	136	499709	0
1	155	6	499839	0
2	175	30	499795	0
3	159	76	499765	0
4	159	153	499688	0
5	155	56	499789	0
0	159	175	499666	0
2	159	168	499673	0
1	155	32	499813	0
3	155	127	499718	0
4	136	132	499732	0
5	159	30	499811	0
0	159	173	499668	0
1	159	126	499715	0
2	155	6	499839	0
3	144	158	499698	0
4	161	140	499699	0
5	158	126	499716	0
0	155	136	499709	0
1	161	99	499740	0
3	174	25	499801	0
2	173	152	499675	0
4	174	151	499675	0
5	155	106	499739	0
0	144	161	499695	0
1	144	37	499819	0
2	173	25	499802	0
3	165	129	499706	0
4	165	164	499671	0
5	161	54	499785	0
0	159	173	499668	0
1	165	92	499743	0
2	161	103	499736	0
4	161	136	499703	0
3	144	150	499706	0
5	173	139	499688	0
0	187	165	499648	0
1	165	97	499738	0
2	144	33	499823	0
3	177	138	499685	0
4	161	168	499671	0
5	165	125	499710	0
0	161	144	499695	0
1	161	12	499827	0
2	165	45	499790	0
3	165	37	499798	0
4	187	148	499665	0
5	161	95	499744	0
0	177	161	499662	0
1	161	177	499662	0
2	187	136	499677	0
3	157	103	499740	0
4	157	108	499735	0
5	161	77	499762	0
0	187	165	499648	0
1	157	113	499730	0
2	161	126	499713	0
3	177	128	499695	0
4	177	132	499691	0
5	187	19	499794	0
0	150	157	499693	0
1	157	40	499803	0
2	177	120	499703	0
3	152	52	499796	0
4	166	27	499807	0
5	157	118	499725	0
0	161	177	499662	0
1	166	22	499812	0
2	157	7	499836	0
3	157	107	499736	0
5	161	133	499706	0
0	166	152	499682	0
4	150	112	499738	0
1	152	28	499820	0
2	150	1	499849	0
3	159	116	499725	0
4	159	83	499758	0
5	152	161	499687	0
0	157	150	499693	0
1	171	0	499829	0
2	166	152	499682	0
3	166	105	499729	0
4	150	149	499701	0
5	159	148	499693	0
0	152	166	499682	0
1	171	96	499733	0
2	152	100	499748	0
3	180	130	499690	0
4	137	11	499852	0
5	171	44	499785	0
0	152	166	499682	0
1	137	176	499687	0
2	171	110	499719	0
3	159	97	499744	0
4	166	120	499714	0
5	137	29	499834	0
0	171	159	499670	0
1	137	124	499739	0
2	159	138	499703	0
3	144	114	499742	0
4	144	13	499843	0
5	137	14	499849	0
0	171	159	499670	0
1	144	66	499790	0
2	180	135	499685	0
3	137	148	499715	0
4	159	75	499766	0
5	144	55	499801	0
1	144	95	499761	0
0	180	137	499683	0
2	180	132	499688	0
3	174	64	499762	0
4	174	6	499820	0
5	144	123	499733	0
0	180	137	499683	0
1	145	134	499721	0
2	144	125	499731	0
3	144	40	499816	0
4	180	69	499751	0
5	145	42	499813	0
0	174	145	499681	0
1	144	124	499732	0
2	144	142	499714	0
3	164	72	499764	0
4	164	146	499690	0
5	145	103	499752	0
0	144	144	499712	0
1	168	163	499668	1
2	145	28	499827	0
3	145	137	499718	0
4	144	127	499729	0
5	164	15	499821	0
0	164	169	499667	0
1	145	138	499717	0
2	145	139	499716	0
3	175	132	499693	0
4	183	77	499740	0
5	168	152	499679	1
0	145	174	499681	0
1	175	172	499653	0
2	168	86	499745	1
3	164	156	499680	0
4	174	60	499766	0
5	183	33	499784	0
0	183	175	499642	0
1	168	147	499684	1
2	164	26	499810	0
3	152	158	499690	0
4	158	7	499835	0
5	175	134	499691	0
0	164	169	499667	0
2	183	123	499694	0
1	152	43	499805	0
3	183	128	499689	0
4	164	30	499806	0
5	152	141	499707	0
0	152	158	499690	0
1	175	138	499687	0
2	183	84	499733	0
3	151	33	499816	0
4	151	144	499705	0
5	152	80	499768	0
0	183	175	499642	0
1	152	137	499711	0
2	166	45	499789	0
3	158	116	499726	0
4	175	118	499707	0
5	166	151	499683	0
0	151	166	499683	0
1	152	43	499805	0
2	152	45	499803	0
3	134	142	499723	1
4	135	38	499827	0
5	151	166	499683	0
0	158	152	499690	0
1	166	149	499685	0
2	182	19	499799	0
3	166	138	499696	0
4	158	16	499826	0
5	182	38	499780	0
0	134	181	499684	1
1	166	123	499711	0
2	166	68	499766	0
3	144	123	499733	0
4	144	52	499804	0
5	134	162	499703	1
0	151	166	499683	0
1	182	67	499751	0
2	144	126	499730	0
3	182	36	499782	0
4	166	62	499772	0
5	159	45	499796	0
0	159	144	499697	0
1	135	41	499824	0
2	182	39	499779	0
3	168	21	499811	0
4	146	47	499807	0
5	144	6	499850	0
0	134	181	499684	1
1	159	108	499733	0
2	168	127	499705	0
3	144	130	499726	0
4	182	103	499715	0
5	168	117	499715	0
0	168	146	499686	0
1	159	144	499697	0
2	159	135	499706	0
3	162	119	499719	0
4	162	89	499749	0
5	168	25	499807	0
0	144	159	499697	0
1	168	123	499709	0
3	168	110	499722	0
2	162	137	499701	0
5	161	158	499681	0
4	159	114	499727	0
0	163	161	499676	0
1	146	146	499708	0
2	146	31	499823	0
3	165	72	499763	0
4	165	114	499721	0
5	161	153	499686	0
0	168	146	499686	0
1	161	140	499699	0
2	161	152	499687	0
3	165	20	499815	0
4	177	136	499687	0
5	168	126	499706	0
0	176	165	499659	0
1	162	39	499799	0
2	161	141	499698	0
3	163	27	499810	0
4	153	72	499775	0
5	176	8	499816	0
0	161	162	499677	0
1	176	106	499718	0
2	165	175	499660	0
3	163	5	499832	0
4	153	76	499771	0
5	162	74	499764	0
0	153	163	499684	0
1	176	11	499813	0
2	176	104	499720	0
3	170	102	499728	0
4	170	97	499733	0
5	163	110	499727	0
0	165	176	499659	0
2	163	146	499691	0
1	153	149	499698	0
3	170	155	499675	0
4	166	135	499699	0
5	165	15	499820	0
0	170	166	499664	0
1	163	23	499814	0
2	153	99	499748	0
3	165	138	499697	0
4	168	104	499728	0
5	170	106	499724	0
0	163	153	499684	0
1	166	128	499706	0
2	166	61	499773	0
3	168	87	499745	0
4	165	168	499667	0
5	163	38	499799	0
0	165	168	499667	0
1	166	137	499697	0
2	166	145	499689	0
3	159	134	499707	0
4	159	103	499738	0
5	168	154	499678	0
0	166	170	499664	0
1	168	165	499667	0
2	168	141	499691	0
3	156	148	499696	0
4	156	47	499797	0
5	170	26	499804	0
0	156	159	499685	0
1	165	23	499812	0
2	168	162	499670	0
3	162	116	499722	0
4	157	143	499700	0
5	156	149	499695	0
0	165	168	499667	0
1	156	140	499704	0
2	159	29	499812	0
3	162	57	499781	0
4	162	147	499691	0
5	168	134	499698	0
0	157	162	499681	0
1	156	159	499685	0
2	156	154	499690	0
3	166	146	499688	0
4	166	119	499715	0
5	157	26	499817	0
0	159	156	499685	0
1	157	142	499701	0
2	162	100	499738	0
3	166	14	499820	0
4	146	132	499722	0
5	156	129	499715	0
0	146	165	499689	0
2	157	161	499682	0
1	157	130	499713	0
3	162	115	499723	0
4	162	113	499725	0
5	165	139	499696	0
0	157	162	499681	0
1	165	146	499689	0
2	146	42	499812	0
3	165	34	499801	0
4	162	147	499691	0
5	162	135	499703	0
0	166	162	499672	0
1	146	95	499759	0
2	146	116	499738	0
3	165	45	499790	0
4	148	24	499828	0
5	162	55	499783	0
0	146	165	499689	0
1	166	157	499677	0
2	166	120	499714	0
3	148	69	499783	0
4	165	138	499697	0
5	146	114	499740	0
0	165	148	499687	0
1	162	165	499673	0
2	162	3	499835	0
4	165	116	499719	0
3	165	56	499779	0
5	148	20	499832	0
0	162	166	499672	0
1	165	134	499701	0
2	165	140	499695	0
3	144	35	499821	0
4	165	119	499716	0
0	165	144	499691	0
5	162	74	499764	0
1	166	146	499688	0
2	165	100	499735	0
3	147	103	499750	0
4	157	132	499711	0
5	144	127	499729	0
0	148	165	499687	0
1	165	138	499697	0
2	144	26	499830	0
3	147	157	499696	0
4	157	107	499736	0
5	147	34	499819	0
0	166	148	499686	0
1	144	17	499839	0
2	144	132	499724	0
3	157	154	499689	0
4	157	106	499737	0
5	157	69	499774	0
0	144	165	499691	0
1	147	2	499851	0
2	147	7	499846	0
3	154	139	499707	0
4	157	129	499714	0
5	154	124	499722	0
0	165	144	499691	0
1	147	41	499812	0
2	157	26	499817	0
3	144	149	499707	0
5	154	45	499801	0
4	144	30	499826	0
0	157	147	499696	0
1	157	152	499691	0
2	157	153	499690	0
3	144	148	499708	0
4	167	52	499781	0
5	167	36	499797	0
0	157	147	499696	0
1	154	127	499719	0
3	146	157	499697	0
4	144	107	499749	0
5	146	76	499778	0
2	154	110	499736	0
0	157	154	499689	0
1	144	117	499739	0
2	167	6	499827	0
3	157	62	499781	0
4	146	22	499832	0
5	157	79	499764	0
0	154	157	499689	0
1	167	80	499753	0
2	151	150	499699	0
3	157	53	499790	0
4	151	155	499694	0
5	167	138	499695	0
0	167	144	499689	0
1	146	6	499848	0
2	157	145	499698	0
3	156	112	499732	0
5	151	136	499713	0
4	151	14	499835	0
0	144	167	499689	0
1	157	22	499821	0
3	156	69	499775	0
2	157	96	499747	0
4	157	23	499820	0
5	146	117	499737	0
0	146	157	499697	0
1	151	7	499842	0
2	156	133	499711	0
3	168	154	499678	0
4	167	70	499763	0
5	157	142	499701	0
0	146	157	499697	0
1	156	29	499815	0
2	157	167	499676	0
3	159	69	499772	0
4	166	30	499804	0
0	156	151	499693	0
5	156	53	499791	0
1	167	76	499757	0
2	167	16	499817	0
3	159	49	499792	0
4	159	129	499712	0
5	159	20	499821	0
0	156	151	499693	0
1	168	157	499675	0
2	160	165	499675	0
3	161	87	499752	0
4	163	144	499693	0
1	166	83	499751	0
5	167	139	499694	0
0	157	168	499675	0
2	160	85	499755	0
3	163	6	499831	0
4	163	58	499779	0
5	163	126	499711	0
0	157	167	499676	0
1	166	159	499675	0
2	161	161	499678	0
3	159	34	499807	0
4	136	7	499857	0
5	161	24	499815	0
0	160	166	499674	0
1	159	37	499804	0
2	161	118	499721	0
3	159	48	499793	0
4	159	125	499716	0
5	159	41	499800	0
0	166	159	499675	0
1	161	141	499698	0
2	135	71	499794	0
3	126	111	499763	0
4	170	9	499821	0
5	159	25	499816	0
0	163	161	499676	0
1	161	23	499816	0
2	159	32	499809	0
3	170	107	499723	0
4	126	156	499718	0
5	126	62	499812	0
0	163	161	499676	0
1	159	135	499706	0
2	126	64	499810	0
3	160	77	499763	0
4	160	87	499753	0
5	126	60	499814	0
0	136	159	499705	0
2	126	14	499860	0
3	158	46	499796	0
1	159	13	499828	0
4	160	134	499706	0
5	158	104	499738	0
0	135	159	499706	0
1	126	46	499828	0
2	160	158	499682	0
3	145	7	499848	0
4	142	112	499746	0
5	160	51	499789	0
0	126	170	499704	0
1	160	109	499731	0
2	142	16	499842	0
3	170	8	499822	0
4	145	39	499816	0
5	145	11	499844	0
0	126	171	499703	0
1	160	131	499709	0
2	145	136	499719	0
3	167	23	499810	0
4	167	105	499728	0
5	142	105	499753	0
0	160	158	499682	0
2	167	86	499747	0
1	145	0	499855	0
3	158	47	499795	0
4	167	154	499679	0
5	167	148	499685	0
0	160	158	499682	0
1	145	142	499713	0
2	167	46	499787	0
3	168	183	499649	0
4	168	99	499733	0
5	167	96	499737	0
0	145	142	499713	0
1	168	37	499795	0
2	167	13	499820	0
4	184	20	499796	0
5	168	64	499768	0
3	142	122	499736	0
0	145	142	499713	0
1	167	107	499726	0
2	184	62	499754	0
3	177	13	499810	0
4	167	49	499784	0
5	184	26	499790	0
0	167	167	499666	0
1	167	26	499807	0
2	168	91	499741	0
3	167	40	499793	0
4	177	120	499703	0
0	167	167	499666	0
5	167	58	499775	0
1	184	161	499655	0
2	167	137	499696	0
3	168	87	499745	0
4	168	137	499695	0
5	177	70	499753	0
0	168	184	499648	0
1	168	25	499807	0
2	167	12	499821	0
3	168	155	499677	0
4	168	56	499776	0
5	184	156	499660	0
0	168	184	499648	0
1	167	162	499671	0
2	168	55	499777	0
3	179	36	499785	0
4	179	127	499694	0
5	157	126	499717	0
0	167	177	499656	0
1	179	40	499781	0
2	157	60	499783	0
3	155	169	499676	0
4	179	113	499708	0
5	177	129	499694	0
0	167	177	499656	0
1	168	141	499691	0
2	155	50	499795	0
3	162	26	499812	0
4	162	127	499711	0
5	179	103	499718	0
0	168	157	499675	0
1	144	125	499731	0
2	155	175	499670	0
3	162	137	499701	0
4	144	120	499736	0
5	157	29	499814	0
0	157	168	499675	0
1	179	155	499666	0
2	144	34	499822	0
3	150	158	499692	0
4	150	0	499850	0
5	144	36	499820	0
0	155	179	499666	0
1	158	129	499713	0
2	144	34	499822	0
3	158	55	499787	0
4	150	32	499818	0
5	155	38	499807	0
0	179	155	499666	0
1	144	50	499806	0
2	158	148	499694	0
3	147	123	499730	0
4	147	11	499842	0
5	158	121	499721	0
0	162	144	499694	0
1	171	76	499753	0
2	158	148	499694	0
3	147	20	499833	0
4	171	145	499684	0
5	144	131	499725	0
0	162	144	499694	0
1	150	98	499752	0
2	171	76	499753	0
3	153	60	499787	0
4	153	145	499702	0
5	147	158	499695	0
0	150	158	499692	0
1	153	104	499743	0
2	171	76	499753	0
3	182	119	499699	0
4	153	166	499681	0
5	158	133	499709	0
0	158	150	499692	0
1	171	7	499822	0
2	153	21	499826	0
3	177	126	499697	0
4	146	81	499773	0
5	153	158	499689	0
0	171	147	499682	0
1	146	163	499691	0
2	153	21	499826	0
3	146	23	499831	0
4	177	61	499762	0
5	171	104	499725	0
0	171	147	499682	0
1	153	181	499666	0
2	146	154	499700	0
3	181	170	499649	0
5	177	133	499690	0
4	181	101	499718	0
0	182	153	499665	0
1	182	181	499637	0
2	146	154	499700	0
3	181	134	499685	0
4	182	90	499728	0
5	182	130	499688	0
0	182	153	499665	0
1	146	67	499787	0
2	182	151	499667	0
3	181	54	499765	0
4	182	153	499665	0
5	158	2	499840	0
0	146	177	499677	0
1	158	135	499707	0
2	182	151	499667	0
4	181	134	499685	0
3	181	92	499727	0
5	146	17	499837	0
0	146	177	499677	0
1	181	166	499653	0
2	181	94	499725	0
3	169	34	499797	0
4	181	57	499762	0
5	169	44	499787	0
0	182	181	499637	0
1	169	110	499721	0
2	181	94	499725	0
3	154	142	499704	0
4	169	152	499679	0
5	182	171	499647	0
0	181	182	499637	0
1	158	91	499751	0
2	169	100	499731	0
3	183	3	499814	0
4	169	122	499709	0
5	183	118	499699	0
0	181	158	499661	0
1	142	107	499751	0
2	169	100	499731	0
4	183	142	499675	0
3	183	16	499801	0
5	158	116	499726	0
0	181	158	499661	0
1	169	144	499687	0
2	142	144	499714	0
3	181	142	499677	0
4	142	33	499825	0
5	154	160	499686	0
0	154	169	499677	0
1	181	95	499724	0
2	142	144	499714	0
3	181	131	499688	0
4	181	32	499787	0
5	154	137	499709	0
0	154	169	499677	0
1	142	181	499677	0
2	154	56	499790	0
3	172	137	499691	0
4	181	25	499794	0
5	151	169	499680	0
0	142	183	499675	0
1	151	163	499686	0
2	154	56	499790	0
3	151	95	499754	0
4	172	30	499798	0
5	183	142	499675	0
0	142	183	499675	0
1	181	125	499694	0
2	151	140	499709	0
3	156	58	499786	0
4	151	120	499729	0
5	156	139	499705	0
0	181	154	499665	0
1	156	71	499773	0
2	151	140	499709	0
3	156	68	499776	0
4	174	45	499781	0
5	181	124	499695	0
0	181	154	499665	0
1	172	126	499702	0
2	174	146	499680	0
3	149	10	499841	0
4	156	147	499697	0
5	174	111	499715	0
0	172	151	499677	0
1	174	131	499695	0
2	174	146	499680	0
3	149	141	499710	0
4	149	168	499683	0
5	151	81	499768	0
0	172	151	499677	0
1	156	167	499677	0
2	149	166	499685	0
3	147	11	499842	0
4	149	62	499789	0
5	163	119	499718	0
0	156	174	499670	0
1	163	106	499731	0
2	149	166	499685	0
3	147	6	499847	0
4	163	111	499726	0
5	174	145	499681	0
0	156	174	499670	0
1	149	135	499716	0
2	147	54	499799	0
3	147	89	499764	0
4	147	5	499848	0
5	147	26	499827	0
0	174	149	499677	0
1	149	147	499704	0
2	147	54	499799	0
3	147	146	499707	0
4	149	26	499825	0
5	174	13	499813	0
0	149	174	499677	0
1	163	8	499829	0
2	147	115	499738	0
3	156	34	499810	0
4	149	141	499710	0
5	156	136	499708	0
0	147	163	499690	0
1	156	153	499691	0
2	147	115	499738	0
3	156	141	499703	0
4	156	78	499766	0
5	163	6	499831	0
0	163	147	499690	0
1	149	22	499829	0
2	156	35	499809	0
3	148	114	499738	0
4	156	41	499803	0
5	141	140	499719	0
0	149	147	499704	0
1	148	119	499733	0
2	156	35	499809	0
3	141	114	499745	0
4	141	77	499782	0
5	149	102	499749	0
0	149	147	499704	0
1	159	91	499750	0
2	141	131	499728	0
3	151	15	499834	0
4	141	132	499727	0
5	151	179	499670	0
0	156	159	499685	0
1	183	66	499751	0
3	151	164	499685	0
2	141	131	499728	0
4	183	124	499693	0
5	159	53	499788	0
0	159	156	499685	0
1	141	139	499720	0
2	183	96	499721	0
3	169	77	499754	0
4	151	166	499683	0
5	169	137	499694	0
0	141	148	499711	0
1	158	135	499707	0
2	158	47	499795	0
3	183	148	499669	0
4	169	92	499739	0
5	141	142	499717	0
0	148	141	499711	0
1	151	142	499707	0
2	158	169	499673	0
3	158	15	499827	0
4	158	35	499807	0
5	158	6	499836	0
0	151	183	499666	0
1	158	146	499696	0
2	158	14	499828	0
3	169	132	499699	0
4	158	154	499688	0
5	151	30	499819	0
0	183	151	499666	0
2	172	15	499813	0
1	158	114	499728	0
3	134	143	499723	0
4	158	59	499783	0
5	134	8	499858	0
0	158	169	499673	0
1	134	136	499730	0
2	144	43	499813	0
3	158	38	499804	0
4	134	102	499764	0
5	158	75	499767	0
0	169	158	499673	0
1	134	128	499738	0
2	172	109	499719	0
3	155	79	499766	0
4	144	88	499768	0
5	171	155	499674	0
0	172	158	499670	0
1	171	25	499804	0
2	171	61	499768	0
3	144	134	499722	0
4	171	128	499701	0
5	158	21	499821	0
0	158	172	499670	0
1	155	151	499694	0
2	134	13	499853	0
3	185	127	499688	0
4	155	99	499746	0
5	166	69	499765	0
0	144	134	499722	0
1	185	12	499803	0
2	166	44	499790	0
3	155	158	499687	0
4	166	91	499743	0
5	134	138	499728	0
0	144	134	499722	0
1	166	125	499709	0
2	155	22	499823	0
3	166	29	499805	0
4	185	122	499693	0
5	166	141	499693	0
0	171	155	499674	0
1	166	144	499690	0
2	144	149	499707	0
3	185	86	499729	0
4	166	137	499697	0
5	171	31	499798	0
0	171	155	499674	0
1	144	162	499694	0
2	185	146	499669	0
3	147	82	499771	0
4	166	105	499729	0
5	147	14	499839	0
0	185	166	499649	0
1	158	119	499723	0
2	158	59	499783	0
4	147	121	499732	0
3	144	41	499815	0
5	166	131	499703	0
0	185	166	499649	0
1	158	136	499706	0
2	166	15	499819	0
3	173	83	499744	0
4	158	22	499820	0
5	170	90	499740	0
0	166	144	499690	0
1	173	131	499696	0
2	170	31	499799	0
3	173	69	499758	0
4	158	78	499764	0
5	144	1	499855	0
0	166	144	499690	0
1	173	15	499812	0
2	158	90	499752	0
3	172	149	499679	0
4	170	54	499776	0
5	172	38	499790	0
0	158	147	499695	0
1	172	131	499697	0
2	172	49	499779	0
3	165	50	499785	0
4	173	76	499751	0
5	147	53	499800	0
0	147	158	499695	0
1	165	172	499663	0
2	173	109	499718	0
3	158	112	499730	0
4	172	153	499675	0
5	168	112	499720	0
0	170	173	499657	0
1	168	135	499697	0
2	168	105	499727	0
3	168	124	499708	0
4	165	31	499804	0
5	173	147	499680	0
0	170	173	499657	0
1	168	100	499732	0
2	172	160	499668	0
3	159	157	499684	0
4	168	18	499814	0
5	159	7	499834	0
0	165	172	499663	0
1	165	112	499723	0
2	159	159	499682	0
3	159	5	499836	0
4	158	167	499675	0
5	172	62	499766	0
0	165	172	499663	0
1	165	114	499721	0
2	158	121	499721	0
3	137	134	499729	0
4	159	17	499824	0
5	137	113	499750	0
0	168	158	499674	0
1	137	41	499822	0
2	158	97	499745	0
3	158	122	499720	0
4	165	123	499712	0
5	158	164	499678	0
0	158	168	499674	0
1	158	137	499705	0
2	166	3	499831	0
3	161	148	499691	0
4	158	32	499810	0
5	161	136	499703	0
0	165	159	499676	0
1	161	151	499688	0
2	161	12	499827	0
3	151	1	499848	0
4	158	4	499838	0
5	159	54	499787	0
0	165	159	499676	0
1	161	93	499746	0
2	137	133	499730	0
3	165	73	499762	0
4	151	65	499784	0
5	165	128	499707	0
0	137	158	499705	0
1	165	29	499806	0
2	157	152	499691	0
3	157	102	499741	0
4	151	108	499741	0
5	158	17	499825	0
0	158	137	499705	0
1	157	17	499826	0
2	161	123	499716	0
4	165	106	499729	0
3	162	7	499831	0
5	162	33	499805	0
0	151	161	499688	0
1	162	150	499688	0
2	164	156	499680	0
3	164	17	499819	0
4	165	0	499835	0
5	161	142	499697	0
0	161	151	499688	0
1	162	121	499717	0
2	165	107	499728	0
3	162	142	499696	0
4	167	154	499679	0
5	167	175	499658	0
0	157	165	499678	0
1	176	167	499657	0
2	176	160	499664	0
3	167	73	499760	0
4	164	97	499739	0
5	157	102	499741	0
0	165	157	499678	0
1	176	167	499657	0
2	162	151	499687	0
3	167	176	499657	0
4	178	16	499806	0
5	178	88	499734	0
0	162	164	499674	0
1	178	4	499818	0
2	171	139	499690	0
3	178	150	499672	0
4	176	147	499677	0
5	164	15	499821	0
0	162	164	499674	0
1	170	115	499714	1
2	167	167	499666	0
3	178	106	499716	0
4	135	136	499729	0
5	174	133	499693	0
0	167	176	499657	0
1	135	121	499744	0
2	135	101	499764	0
3	174	126	499700	0
4	171	36	499793	0
5	176	51	499773	0
0	176	167	499657	0
1	174	135	499691	0
2	178	9	499813	0
3	174	119	499707	0
4	175	148	499677	0
5	150	166	499684	0
0	178	171	499651	0
